s_id,semester,leave_school_name,leave_dept_name,degree_now,第一題,第二題,第三題,第四題,第五題,第六題,第七題,第八題,第九題,第十題,第10題,第十一題,第十二題,第十三題,第十四題
0059c22f6d407457c97d6db93b4d1983,105,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,金融財務類*:*,否*:*,"約新臺幣65,001元至70,000元*:*",境內_台北市*:*,NULL,符合*:*,不需要*:*,滿意*:*,普通*:*,NULL,校外業界實習*:*,有_進修_出國進修*:*,有點幫助*:*,團隊合作能力*:*外語能力*:*溝通表達能力*:*
0061ab8273813d12ebcbff98975df543,105,工學院,土木工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,建築營造類*:*,是_轉換工作主要的原因_學習成長機會較多*:*,"約新臺幣40,001元至43,000元*:*",境內_台南市*:*,NULL,符合*:*,不需要*:*,滿意*:*,普通*:*,NULL,社團活動*:*,有_準備考試或其他證照_技術士證照*:*,有點幫助*:*,團隊合作能力*:*
0065f9ac3e82a373e5cbdd4a3503681f,101,管理學院,經濟學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,金融財務類*:*,否*:*,"約新臺幣85,001元以上*:*",境內_台北市*:*,NULL,符合*:*,需要*:*,普通*:*,尚可*:*,NULL,專業知識、知能傳授*:*社團活動*:*,沒有*:*,NULL,問題解決能力*:*溝通表達能力*:*人際互動能力*:*
0067a570015b8e20507e97bc1338fe76,104,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_與個人在校所學專業知識符合*:*,"約新臺幣34,001元至37,000元*:*",境內_台北市*:*,NULL,符合*:*,不需要*:*,普通*:*,普通*:*,NULL,專業知識、知能傳授*:*語言學習*:*,有_準備考試或其他證照_技術士證照*:*,普通*:*,問題解決能力*:*人際互動能力*:*工作紀律、責任感及時間管理能力*:*
006ca00ee200a3e9e0c18fa861738efe,100,理學院,生命科學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,醫療保健類*:*,是_轉換工作主要的原因_薪資及福利較高*:*,"約新臺幣55,001元至60,000元*:*",境內_台北市*:*,NULL,符合*:*,需要*:*,普通*:*,尚可*:*,NULL,專業知識、知能傳授*:*擔任研究或教學助理*:*,沒有*:*有_準備考試或其他證照_語言證照*:*,有點幫助*:*,溝通表達能力*:*人際互動能力*:*問題解決能力*:*
006ccba69e185891f9e861c2fad28dd3,103,工學院,化學工程與材料工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣43,001元至46,000元*:*",NULL,NULL,尚可*:*,不需要*:*,滿意*:*,尚可*:*,NULL,專業知識、知能傳授*:*語言學習*:*建立同學及老師人脈*:*,沒有*:*,NULL,人際互動能力*:*團隊合作能力*:*溝通表達能力*:*
008b985776c91e5d96c1887c015b3e1a,105,管理學院,企業管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,企業經營管理類*:*,否*:*,"約新臺幣40,001元至43,000元*:*",境外，(請填報工作國家別)_亞洲（香港、澳門、大陸地區以外國家）*:*,NULL,普通*:*,需要*:*,不滿意*:*,不符合*:*,NULL,校外業界實習*:*,沒有*:*,NULL,問題解決能力*:*溝通表達能力*:*外語能力*:*
008ce7890335c8c4467bd7ba7fa01ffd,101,資訊電機學院,通訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣85,001元以上*:*",境外_北美洲*:*,NULL,非常符合*:*,不需要*:*,滿意*:*,非常符合*:*,NULL,專業知識、知能傳授*:*,沒有*:*,NULL,資訊科技應用能力*:*持續學習能力*:*創新能力*:*
009dd1e4c548c4fbc54a419d59723d26,104,管理學院,企業管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,藝文與影音傳播類*:*,是_轉換工作主要的原因_其他*:*,"約新臺幣34,001元至37,000元*:*",境內_台中市*:*,NULL,符合*:*,不需要*:*,滿意*:*,普通*:*,NULL,擔任研究或教學助理*:*,沒有*:*,普通*:*,溝通表達能力*:*團隊合作能力*:*問題解決能力*:*
009f3ae36998229a712d3353345a9de9,102,客家學院,客家語文暨社會科學學系客家研究碩士在職專班,碩士在職專班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,教育與訓練類*:*,否*:*,"約新臺幣75,001元至80,000元*:*",境內_桃園市*:*,NULL,符合*:*,需要*:*,滿意*:*,符合*:*,NULL,專業知識、知能傳授*:*語言學習*:*,沒有*:*,NULL,問題解決能力*:*資訊科技應用能力*:*外語能力*:*
00b83020448d4a770e6ff7a81675e12a,102,工學院,機械工程學系光機電工程碩士班,碩士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,持續學習能力*:*外語能力*:*問題解決能力*:*
00bb0057127bb11542dabffd179dfae6,100,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣50,001元至55,000元*:*",境內_新竹市*:*,NULL,符合*:*,不需要*:*,不滿意*:*,符合*:*,NULL,校內實務課程*:*專業知識、知能傳授*:*,沒有*:*,NULL,溝通表達能力*:*問題解決能力*:*人際互動能力*:*
00bbd02f97c3033acf6490355d514e0b,105,管理學院,資訊管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣100,001元至110,000元*:*",境內_台北市*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,非常符合*:*,NULL,校內實務課程*:*社團活動*:*校外業界實習*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,團隊合作能力*:*資訊科技應用能力*:*溝通表達能力*:*
00c9b2ed94dc153f9320da8d2632d610,102,管理學院,資訊管理學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_與個人興趣較符合*:*,"約新臺幣46,001元至49,000元*:*",境內_台北市*:*,NULL,尚可*:*,不需要*:*,滿意*:*,符合*:*,NULL,校內實務課程*:*專業知識、知能傳授*:*社團活動*:*,有_準備考試或其他證照_語言證照*:*,普通*:*,溝通表達能力*:*人際互動能力*:*持續學習能力*:*
00ceea1d31020a8e5c163cbb19769a49,105,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣46,001元至49,000元*:*",境內_新竹市*:*,NULL,符合*:*,不需要*:*,滿意*:*,符合*:*,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*,沒有*:*,NULL,問題解決能力*:*資訊科技應用能力*:*
00d216072e7cc38d0197056ba98eb0fc,101,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,金融財務類*:*,是_轉換工作主要的原因_薪資及福利較高*:*,"約新臺幣45,001元至50,000元*:*",境內_台北市*:*,NULL,不符合*:*,需要*:*,滿意*:*,不符合*:*,NULL,專業知識、知能傳授*:*,有_準備考試或其他證照_金融證照*:*,非常有幫助*:*,溝通表達能力*:*團隊合作能力*:*外語能力*:*
00d4990fc6b7007dad76b09bc9897aca,105,管理學院,工業管理研究所碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,製造類*:*,是_轉換工作主要的原因_家庭因素*:*,"約新臺幣90,001元至95,000元*:*",境內_高雄市*:*,NULL,符合*:*,不需要*:*,滿意*:*,普通*:*,NULL,專業知識、知能傳授*:*,有_進修_國內大專校院進修*:*,有點幫助*:*,外語能力*:*創新能力*:*持續學習能力*:*
00d6f2dbdec8f9a4d68dc6fde6e10c40,103,工學院,機械工程學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,外語能力*:*資訊科技應用能力*:*持續學習能力*:*
00de84caa7e83a4d626a2779f0bec977,105,資訊電機學院,電機工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣65,001元至70,000元*:*",境內_桃園市*:*,NULL,符合*:*,不需要*:*,滿意*:*,普通*:*,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*,沒有*:*,NULL,問題解決能力*:*外語能力*:*溝通表達能力*:*
00e1e0184b849147e93deffcb1982c70,105,工學院,化學工程與材料工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,製造類*:*,否*:*,"約新臺幣49,001元至52,000元*:*",境內_台中市*:*,NULL,符合*:*,不需要*:*,非常滿意*:*,非常符合*:*,NULL,專業知識、知能傳授*:*校內實務課程*:*社團活動*:*,沒有*:*,NULL,人際互動能力*:*問題解決能力*:*外語能力*:*
00e3685abef26a2677014c666c18b6c4,104,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣46,001元至49,000元*:*",境內_新竹市*:*,NULL,符合*:*,需要*:*,滿意*:*,普通*:*,NULL,專業知識、知能傳授*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,工作紀律、責任感及時間管理能力*:*持續學習能力*:*資訊科技應用能力*:*
00e633ce4d3f802d4937cc76610e40bd,102,資訊電機學院,電機工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_工作具挑戰性及自主性*:*,"約新臺幣52,001元至55,000元*:*",境內_新竹市*:*,NULL,非常符合*:*,不需要*:*,滿意*:*,符合*:*,NULL,專業知識、知能傳授*:*校內實務課程*:*校外業界實習*:*,沒有*:*,NULL,問題解決能力*:*資訊科技應用能力*:*溝通表達能力*:*
00efdba07cbe047119c5e9204bfe8370,104,資訊電機學院,資訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_薪資及福利較高*:*,"約新臺幣37,001元至40,000元*:*",境內_台北市*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,不符合*:*,NULL,建立同學及老師人脈*:*校內實務課程*:*專業知識、知能傳授*:*,沒有*:*,完全沒有幫助*:*,溝通表達能力*:*團隊合作能力*:*問題解決能力*:*
00fa34750ef9fb6329928dbb6a4e2d87,102,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_薪資及福利較高*:*,"約新臺幣65,001元至70,000元*:*",境內_新北市*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,符合*:*,NULL,校內實務課程*:*建立同學及老師人脈*:*專業知識、知能傳授*:*,沒有*:*,NULL,持續學習能力*:*團隊合作能力*:*溝通表達能力*:*
010ca4e90d1e0a4493f9ef910723a79f,100,地球科學學院,地球科學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣37,001元至40,000元*:*",境內_新北市*:*,NULL,尚可*:*,不需要*:*,滿意*:*,尚可*:*,NULL,建立同學及老師人脈*:*校內實務課程*:*擔任研究或教學助理*:*,沒有*:*,NULL,資訊科技應用能力*:*創新能力*:*問題解決能力*:*
011a33f857b0cb0201c71996419a2a67,100,理學院,化學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣45,001元至50,000元*:*",境內_雲林縣*:*,NULL,符合*:*,不需要*:*,滿意*:*,尚可*:*,NULL,建立同學及老師人脈*:*語言學習*:*專業知識、知能傳授*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,溝通表達能力*:*團隊合作能力*:*創新能力*:*
011d08ce1ecb17c0d6e15feca47dec41,102,工學院,機械工程學系碩士班,碩士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,團隊合作能力*:*溝通表達能力*:*問題解決能力*:*
011fe6269ce1a6a0a1c33901a57c1640,105,理學院,統計研究所碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣49,001元至52,000元*:*",境內_台北市*:*,NULL,普通*:*,需要*:*,普通*:*,不符合*:*,NULL,語言學習*:*,沒有*:*,NULL,團隊合作能力*:*外語能力*:*溝通表達能力*:*
0120192cbd7048def3844ba3f63d44b1,105,資訊電機學院,通訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_其他*:*,"約新臺幣65,001元至70,000元*:*",境內_新竹市*:*,NULL,普通*:*,不需要*:*,普通*:*,非常不符合*:*,NULL,專業知識、知能傳授*:*,沒有*:*,NULL,工作紀律、責任感及時間管理能力*:*溝通表達能力*:*創新能力*:*
0123f53005c5d52f7459d1f8728680ce,104,工學院,化學工程與材料工程學系,學士班,目前非就業中（請跳答第6題後，再跳答第14題）*:*,NULL,NULL,NULL,NULL,其他：不想找工作、生病…＿＿＿＿*:*尋找工作中_到現在還在尋找工作的最大可能原因為何_其他*:*,NULL,NULL,NULL,NULL,非常有幫助*:*有幫助*:*,NULL,NULL,NULL,工作紀律、責任感及時間管理能力*:*外語能力*:*問題解決能力*:*
012b39e2a98c68ceb9ea49a4b581bf22,104,資訊電機學院,電機工程學系,學士班,目前非就業中（請跳答第6題後，再跳答第14題）*:*,NULL,NULL,NULL,NULL,服役中或等待服役中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,問題解決能力*:*溝通表達能力*:*
012ef60a1621616af4080678e47f958a,102,管理學院,企業管理學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,服役中或等待服役中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,人際互動能力*:*團隊合作能力*:*溝通表達能力*:*
0141b7ab47e3292e2f354552d29034a4,104,管理學院,資訊管理學系碩士班,碩士班,目前非就業中（請跳答第6題後，再跳答第14題）*:*,NULL,NULL,NULL,NULL,準備考試_證照*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,資訊科技應用能力*:*工作紀律、責任感及時間管理能力*:*問題解決能力*:*
01444b5975491db89c8d171beb0e819b,104,資訊電機學院,資訊工程學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_工作具挑戰性及自主性*:*,"約新臺幣95,001元至100,000元*:*",境內_台北市*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,符合*:*,NULL,校內實務課程*:*專業知識、知能傳授*:*,沒有*:*,NULL,人際互動能力*:*問題解決能力*:*工作紀律、責任感及時間管理能力*:*
0146cb33b3ad9fe4a86210aca2975558,104,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣34,001元至37,000元*:*",境內_台北市*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,符合*:*,NULL,語言學習*:*校內實務課程*:*專業知識、知能傳授*:*,沒有*:*,NULL,外語能力*:*問題解決能力*:*溝通表達能力*:*
014b027d4f21d2671d321b09912168a5,103,工學院,機械工程學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,製造類*:*,否*:*,"約新臺幣37,001元至40,000元*:*",NULL,NULL,尚可*:*,不需要*:*,普通*:*,尚可*:*,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*,有_進修_出國進修*:*,沒有幫助*:*,持續學習能力*:*資訊科技應用能力*:*外語能力*:*
0151f3bd1d150655655ad9b13536048b,105,文學院,歷史研究所碩士班,碩士班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,教育與訓練類*:*,否*:*,"約新臺幣55,001元至60,000元*:*",境內_苗栗縣*:*,NULL,符合*:*,需要*:*,非常滿意*:*,符合*:*,NULL,語言學習*:*專業知識、知能傳授*:*建立同學及老師人脈*:*,有_進修_國內大專校院進修*:*,有點幫助*:*,問題解決能力*:*團隊合作能力*:*人際互動能力*:*
01543893b91c6d1eca7e43c41627c068,104,工學院,機械工程學系光機電工程碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣55,001元至60,000元*:*",NULL,NULL,普通*:*,不需要*:*,滿意*:*,普通*:*,NULL,語言學習*:*建立同學及老師人脈*:*,沒有*:*,NULL,工作紀律、責任感及時間管理能力*:*人際互動能力*:*問題解決能力*:*
015afa0979edf1ed63776972c59a2341,101,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,"約新臺幣60,001元至65,000元*:*",境內_新竹市*:*,NULL,非常不符合*:*,不需要*:*,不滿意*:*,不符合*:*,NULL,語言學習*:*專業知識、知能傳授*:*,沒有*:*,NULL,問題解決能力*:*持續學習能力*:*溝通表達能力*:*
015d8a2e5994e33e6e0cfc7e677b3fb8,101,客家學院,客家語文暨社會科學學系客家語文碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,否*:*,其他*:*,境內_桃園市*:*,NULL,非常不符合*:*,不需要*:*,滿意*:*,尚可*:*,NULL,專業知識、知能傳授*:*語言學習*:*,有_進修_國內大專校院進修*:*,有點幫助*:*,持續學習能力*:*溝通表達能力*:*人際互動能力*:*
0160ed277ec1d296c04118a3356d56bf,100,管理學院,財務金融學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,尋找工作中_到現在還在尋找工作的最大可能原因為何_工作內容不滿意*:*尋找工作中_目前已花多久時間找工作_約1個月以上至2個月內*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,問題解決能力*:*資訊科技應用能力*:*人際互動能力*:*
0168c4566a16a5459a42a0de6ff217b1,104,資訊電機學院,資訊工程學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_工作較穩定*:*,"約新臺幣52,001元至55,000元*:*",境內_新竹縣*:*,NULL,非常符合*:*,不需要*:*,非常滿意*:*,符合*:*,NULL,專業知識、知能傳授*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,工作紀律、責任感及時間管理能力*:*外語能力*:*資訊科技應用能力*:*
016fab32fca9214be4b3754c324dc1a4,102,地球科學學院,水文與海洋科學研究所碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_與個人在校所學專業知識符合*:*,"約新臺幣43,001元至46,000元*:*",境內_高雄市*:*,NULL,符合*:*,不需要*:*,滿意*:*,非常符合*:*,NULL,擔任研究或教學助理*:*建立同學及老師人脈*:*專業知識、知能傳授*:*,有_準備考試或其他證照_國家考試*:*,有點幫助*:*,溝通表達能力*:*團隊合作能力*:*問題解決能力*:*
0172c2321a0377726522eaabdd3c19e6,101,地球科學學院,地球科學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,行銷與銷售類*:*,否*:*,"約新臺幣37,001元至40,000元*:*",境內_新北市*:*,NULL,不符合*:*,不需要*:*,普通*:*,不符合*:*,NULL,社團活動*:*語言學習*:*參與國際交流活動*:*,有_準備考試或其他證照_語言證照*:*,有點幫助*:*,持續學習能力*:*外語能力*:*工作紀律、責任感及時間管理能力*:*
017802d45b0b1431680c8bcf96c0a6b7,102,管理學院,人力資源管理研究所碩士在職專班,碩士在職專班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,尋找工作中_目前已花多久時間找工作_其他*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,溝通表達能力*:*問題解決能力*:*人際互動能力*:*
01986e4192aed94e7f4313bb432de0be,104,資訊電機學院,通訊工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,否*:*,"約新臺幣70,001元至75,000元*:*",境內_新竹市*:*,NULL,普通*:*,不需要*:*,滿意*:*,普通*:*,NULL,專業知識、知能傳授*:*語言學習*:*校外業界實習*:*,有_準備考試或其他證照_語言證照*:*,普通*:*,問題解決能力*:*資訊科技應用能力*:*溝通表達能力*:*
019a50dcde0031bec51e198dc79be765,104,資訊電機學院,電機工程學系,學士班,目前非就業中（請跳答第6題後，再跳答第14題）*:*,NULL,NULL,NULL,NULL,進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,外語能力*:*工作紀律、責任感及時間管理能力*:*溝通表達能力*:*
019a924b2d968386423d0cc82630ceee,105,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊科技類*:*,是_轉換工作主要的原因_與個人興趣較符合*:*,"約新臺幣40,001元至43,000元*:*",境內_台北市*:*,NULL,非常符合*:*,需要*:*,非常滿意*:*,非常不符合*:*,NULL,其他訓練 （請敘明）＿＿＿*:*,有_進修_國內大專校院進修*:*,非常有幫助*:*,資訊科技應用能力*:*創新能力*:*持續學習能力*:*
019c40520f78445af0d15dee16cc2616,100,文學院,英美語文學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,團隊合作能力*:*工作紀律、責任感及時間管理能力*:*溝通表達能力*:*
019f301d2f3f0253c9b488bb764589fd,102,工學院,化學工程與材料工程學系,學士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,尋找工作中_目前已花多久時間找工作_約1個月以內*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,外語能力*:*問題解決能力*:*資訊科技應用能力*:*
019f9d72fb7ea121a596574d9d6d3e7f,105,生醫理工學院,生命科學系,學士班,目前非就業中（請跳答第6題後，再跳答第14題）*:*,NULL,NULL,NULL,NULL,進修中*:*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,工作紀律、責任感及時間管理能力*:*資訊科技應用能力*:*
01a1c982beb5b3a0737649e7d9102515,102,資訊電機學院,電機工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_工作較穩定*:*,"約新臺幣52,001元至55,000元*:*",境內_新竹市*:*,NULL,非常符合*:*,不需要*:*,滿意*:*,非常符合*:*,NULL,校內實務課程*:*專業知識、知能傳授*:*擔任研究或教學助理*:*,沒有*:*,NULL,外語能力*:*創新能力*:*
01b013a22407674d89a0d76881ebd03f,104,地球科學學院,地球科學學系地球物理碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,科學、技術、工程、數學類*:*,是_轉換工作主要的原因_工作較穩定*:*,"約新臺幣43,001元至46,000元*:*",境內_嘉義縣*:*,NULL,符合*:*,需要*:*,滿意*:*,普通*:*,NULL,語言學習*:*擔任研究或教學助理*:*社團活動*:*,有_準備考試或其他證照_技術士證照*:*,普通*:*,問題解決能力*:*外語能力*:*溝通表達能力*:*
